sender_id;receiver_id;nodetype;frequency;friend;workmate;neighbour;familymember;partner;colleague_association;other;knowledge;advice_freq;trust;contact_years
79;119;exchange;3;0;0;0;0;1;0;0;4;3;4;
79;11;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
79;23;agroconcept_contact;0;0;1;0;0;0;0;0;;;;35
79;21;agroconcept_contact;2;0;1;0;0;0;1;1;;;;50
79;7;agroconcept_contact;0;0;1;0;0;0;0;0;;;;13
79;27;agroconcept_contact;1;1;1;0;0;0;0;0;;;;50
79;18;agroconcept_contact;0;0;1;0;0;0;0;0;;;;50
79;28;agroconcept_contact;0;0;1;0;0;0;0;1;;;;45
79;16;agroconcept_contact;1;0;1;0;0;0;0;0;;;;50
79;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
79;24;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;25;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;9;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;12;agroconcept_contact;;0;0;0;0;0;0;0;;;;0
79;13;agroconcept_contact;0;0;1;0;0;0;0;0;;;;50
79;54;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
79;14;agroconcept_contact;0;0;1;1;0;0;0;0;;;;50
79;55;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
79;10;agroconcept_contact;0;1;1;0;0;0;0;0;;;;50
79;8;agroconcept_contact;0;0;1;0;0;0;0;0;;;;15
